CUS_ID,s_v_min,s_t_min,s_pr_min,s_prt_min,s_v_max,s_t_max,s_pr_max,s_prt_max,s_v_mean,s_t_mean,s_pr_mean,s_prt_mean,s_v_median,s_t_median,s_pr_median,s_prt_median,s_v_sd,s_t_sd,s_pr_sd,s_prt_sd
1990,1,0,1,0,43,4211,250,274.5,4.4534161491,473.10248447,12.540372671,42.900198337,3,225,7,29.531661601,4.4692794384,620.05035374,19.528553674,47.033668993
1991,1,0,1,0,114,35966,805,583,16.104700855,2788.8461538,84.811965812,39.851300519,10,1267,38,29.433083686,18.077744884,4050.7548145,119.90181077,56.649147248
1992,1,0,1,0,43,8325,423,300,8.0377358491,792.83557951,53.53638814,18.156754381,6,472,30,10.595419847,6.8441080792,1041.2858903,67.232437851,28.407484542
1993,1,0,1,0,38,6743,270,600,7.0450704225,1117.7492958,34.892957746,50.310297136,5,678,18,29.925373134,6.3817534015,1245.5680195,41.633724799,81.887527411
1994,1,0,1,0,42,9183,613,449,5.5771812081,516.34563758,23.429530201,21.590413512,3,111.5,8,11.350506988,6.7611299516,1128.2709148,53.142937301,36.518967699
1995,1,0,1,0,41,5550,171,307,7.6209386282,639.72743682,22.444043321,24.696914697,6,295.5,14,18.583133971,6.2758178666,859.40766203,24.441344531,28.200185076
1996,1,0,1,0,82,43121,578,477,10.838445808,1399.597137,40.396728016,35.08238724,7,516,19,23.957446809,11.282533761,2784.091878,56.287265156,47.923926785
1997,1,0,1,0,51,9556,335,119.71428571,10.215686275,1418.5019608,43.643137255,33.741366561,8,914,29,30.986046512,8.3248837818,1528.4540125,46.348581912,22.490029699
1998,1,0,1,0,83,15646,388,597,7.9939117199,808.37138508,32.050228311,27.003481849,6,431,21,18.4,8.1399698536,1216.4701981,38.17197411,36.760594872
1999,1,1,1,0.33333333333,51,15408,419,128.25,11.398190045,1464.7239819,45.556561086,33.211969935,8,780,26,28.909090909,9.666474227,1926.1332416,60.909043327,23.468445465
